system:index,dNBR,severity,.geo
112,-0.011158674955368042,0,"{""type"":""Point"",""coordinates"":[150.2977126444055,-33.844777822125685]}"
113,0.006782457232475281,0,"{""type"":""Point"",""coordinates"":[150.3436720269799,-33.695534988284464]}"
114,0.014473780989646912,0,"{""type"":""Point"",""coordinates"":[150.58340500799957,-33.785943529883156]}"
115,0.034449994564056396,0,"{""type"":""Point"",""coordinates"":[150.22663216113676,-33.8094999163474]}"
116,0.21751005947589874,0,"{""type"":""Point"",""coordinates"":[150.3889045988826,-33.555182696427345]}"
117,0.14419883489608765,0,"{""type"":""Point"",""coordinates"":[150.31013155226395,-33.51882863459843]}"
118,0.030163168907165527,0,"{""type"":""Point"",""coordinates"":[150.52346528120478,-33.59486197812637]}"
119,0.04184865951538086,0,"{""type"":""Point"",""coordinates"":[150.31331940843637,-33.809771469972304]}"
120,0.014027714729309082,0,"{""type"":""Point"",""coordinates"":[150.49691442029118,-33.82688439505161]}"
121,0.25214624404907227,0,"{""type"":""Point"",""coordinates"":[150.23780013451338,-33.79171411787316]}"
122,-8.608847856521606E-4,0,"{""type"":""Point"",""coordinates"":[150.27890795420996,-33.72463391358418]}"
123,-0.023557230830192566,0,"{""type"":""Point"",""coordinates"":[150.46536416395526,-33.73377972246259]}"
124,0.02130025625228882,0,"{""type"":""Point"",""coordinates"":[150.53541446768278,-33.77458728211623]}"
125,0.01684391498565674,0,"{""type"":""Point"",""coordinates"":[150.5502190351706,-33.71842562858927]}"
126,0.031946927309036255,0,"{""type"":""Point"",""coordinates"":[150.421554385616,-33.703636468970025]}"
127,0.3082772195339203,1,"{""type"":""Point"",""coordinates"":[150.42915596796783,-33.58591971607922]}"
128,0.1441396325826645,0,"{""type"":""Point"",""coordinates"":[150.46193308074328,-33.63458241310364]}"
129,0.07288043200969696,0,"{""type"":""Point"",""coordinates"":[150.25959622662958,-33.720026469322164]}"
130,-0.007309868931770325,0,"{""type"":""Point"",""coordinates"":[150.24225024974385,-33.58964815991417]}"
131,0.043383073061704636,0,"{""type"":""Point"",""coordinates"":[150.35057902390662,-33.657515508847865]}"
132,0.1511690467596054,0,"{""type"":""Point"",""coordinates"":[150.4403520245628,-33.48405515116808]}"
133,0.0621044784784317,0,"{""type"":""Point"",""coordinates"":[150.34094990068346,-33.827235761173476]}"
134,0.12347052246332169,0,"{""type"":""Point"",""coordinates"":[150.50264408993985,-33.747823407583645]}"
135,0.047814443707466125,0,"{""type"":""Point"",""coordinates"":[150.47470658643493,-33.700467872555194]}"
136,0.01561671495437622,0,"{""type"":""Point"",""coordinates"":[150.57404735003126,-33.771328600445486]}"
